seller_id,total_orders,total_products_sold,avg_price,avg_freight,total_revenue,avg_review_score,seller_zip_code_prefix,seller_city,seller_state,profitable
066a6914e1ebf3ea95a216c73a986b91,68,76,124.9521052631579,22.851184210526316,12362.42,4.0,85863,foz do iguacu,PR,1
0691148aee60ca47977c187804f935ae,47,58,108.41396551724138,28.188103448275864,11171.33,4.068965517241379,86010,londrina,PR,1
0692610d8abe24f287e9fae90ea0bbee,4,4,43.4975,7.9325,205.72,4.0,2310,sao paulo,SP,0
06a2c3af7b3aee5d69171b0e14f0ee87,392,410,89.72414634146342,29.961146341463415,52159.22,3.9875930521091814,65072,sao luis,MA,1
06bb3a2fe5e7b7a845b13e8fb91bd944,17,19,85.16789473684211,18.155263157894737,2028.66,4.631578947368421,31844,belo horizonte,MG,1
06df0c10d34e459d9672bc77388742eb,26,30,302.3333333333333,17.525666666666666,12122.79,4.366666666666666,87045,maringa,PR,1
06e5eefc71ec47ae763c5c6f8db7064f,92,100,234.6168,22.889200000000002,25884.28,3.857142857142857,91350,porto alegre,RS,1
07017df32dc5f2f1d2801e579548d620,8,9,105.16555555555556,20.194444444444443,1313.98,4.111111111111111,58030,joao pessoa,PB,1
070d165398b553f3b4b851c216b8a358,32,46,106.925,27.41478260869565,6659.83,3.7111111111111112,3916,sao paulo,SP,1
0725b8c0f3f906e58f70cbe76b7c748c,17,41,56.451219512195124,19.221219512195123,9512.88,3.5121951219512195,7023,guarulhos,SP,1
0743a0239d764b9a0f959a57d07e36ab,4,5,77.19,16.34,403.22,4.8,3138,sao paulo,SP,0
0747d5bb69f0586cc869d8af4c50f93e,14,15,23.106666666666666,13.925999999999998,633.33,3.466666666666667,28990,saquarema,RJ,0
0761743cbffb25d7148189e9f1a5f03a,3,7,34.457142857142856,12.314285714285715,1267.6000000000001,4.285714285714286,14096,ribeirao preto,SP,1
077c5fae4bea9500e3737b16f71b9d3a,4,6,17.8,11.74,421.62,4.666666666666667,18052,sorocaba,SP,0
0791d9fc1e30678ecf03d3e55fa108d3,5,11,76.54545454545455,16.99909090909091,3943.31,2.727272727272727,30775,belo horizonte,MG,1
079d295dcbf06ee8bb1b65ba964eb2b6,5,10,34.93,19.079,2142.99,4.8,2124,sao paulo,SP,1
07a9bc7f61396b658ddf3ac534efe44c,1,2,119.9,15.59,270.98,3.5,2925,sao paulo,SP,0
07bf9669d84d1f11be443a9dd938f698,18,24,74.0,26.925833333333333,3807.7599999999998,3.25,4761,sao paulo,SP,1
07d75e33f2750d97d467fb57e4dfdd8a,2,2,361.2,18.595,759.59,2.5,2117,sao paulo,SP,0
07de60b03d150fb3ea09eab5da5e4c8b,9,11,78.44545454545455,18.89,937.75,4.363636363636363,14940,ibitinga,SP,0
07e8e8fc5222bb358e6f259da3197074,2,2,25.9,11.53,74.86,4.0,4216,sao paulo,SP,0
080102cd0a76b09e0dcf55fcacc60e05,124,132,43.85272727272728,16.813863636363635,8507.97,4.5,31140,belo horizonte,MG,1
080199a181c46c657dc5aa235411be3b,79,84,174.80583333333334,12.501547619047617,17035.9,4.614457831325301,6097,osasco,SP,1
08061dc0fc165ed41288cc7acde738ee,4,5,30.560000000000002,13.428,182.22,4.6,6036,osasco,SP,0
08084d990eb3f53af056ccbc1730c8a7,12,12,31.041666666666668,19.524166666666666,795.98,4.454545454545454,3612,sao paulo,SP,0
081acf3de680d554796c9cf041be7bc2,4,8,199.6625,25.6875,3075.25,4.125,33200,vespasiano,MG,1
082e0bf4cb865a6533b1e8e498cc0255,11,23,90.14347826086957,43.08826086956522,9205.03,3.3043478260869565,18608,botucatu,SP,1
085f6f7e049c996695fb2074fe38d45e,6,9,36.022222222222226,15.927777777777777,549.62,3.7777777777777777,12020,taubate,SP,0
08633c14ef2db992c11f840f04fad4cd,74,97,78.80721649484536,14.685773195876289,15190.23,4.237113402061856,9416,ribeirao pires,SP,1
0873d9f8f36123f8d910f4760e788cfb,6,6,1210.9316666666666,26.843333333333334,7564.81,3.1666666666666665,6465,barueri,SP,1
0885aaf116795758dfeb5f1032487bcd,28,31,91.22258064516129,17.015483870967742,4244.75,4.225806451612903,8541,ferraz de vasconcelos,SP,1
0887a9f087bcd5d9f6642b52f897fc6c,12,12,136.83333333333334,18.3625,1862.35,4.416666666666667,11990,cananeia,SP,1
08ad4ac1388e4420ca531c3edfc46198,6,7,31.659999999999997,12.721428571428572,436.46000000000004,2.7142857142857144,6663,itapevi,SP,0
08cdbae123ff67ca4e36d9d641ce0119,4,7,502.57,165.43714285714285,8858.71,2.4285714285714284,36504,uba,MG,1
